,Window,Variance GBP,Variance SEK,Variance CAD,Covariance SEK - GBP,Covariance SEK - CAD,Covariance GBP - CAD
20,0.6307355941303842,5.0639559666177986e-05,6.880194019611719e-06,2.5571309871925865e-05,7.38785098654293e-06,6.7405473179145e-07,-2.1364451564472735e-06
21,0.22973326031575592,9.703437421443205e-06,4.5898403794491355e-06,2.0823797808927355e-05,-2.3147005094307263e-07,7.043910983210316e-07,-2.0408539623513504e-06
22,0.011828809608558477,2.4890867906510932e-06,2.012170315690342e-06,1.732049703171864e-05,2.599935202412729e-07,3.9247134076894414e-07,4.188111940134848e-08
23,0.7076591039548963,5.54418621085482e-05,8.296865810601724e-06,2.9530337091429433e-05,-5.141227187322654e-06,2.7800782359073195e-06,-2.815806772385481e-07
24,0.14452946985717263,5.6749545246028525e-06,4.024107533032051e-06,2.3716492347277824e-05,2.3596676872788425e-08,3.854276377198694e-07,1.0157104467443404e-06
25,0.8236111779457338,5.851796202741371e-05,8.127661958886355e-06,2.9332513003352847e-05,1.7978146249861012e-06,5.325554205657318e-06,5.272242903856378e-06
26,0.5210395641662423,5.5418641480589917e-05,8.50135577713273e-06,2.365959874195037e-05,4.843999072932945e-06,-4.6542512821337725e-07,-6.214723533750663e-06
27,0.9871541351977376,7.63126126545643e-05,8.471305757181036e-06,2.6220563644337055e-05,1.6883450257397482e-05,4.8234177848418326e-06,4.813060445539051e-06
28,0.07434504989554824,4.458231712571366e-06,2.782139960882174e-06,1.5545135518938584e-05,9.195791116954222e-07,-5.537181062613592e-08,-1.0212216851528196e-06
29,0.6156958946530882,5.048891805875882e-05,7.971357265085842e-06,2.3275357557584838e-05,4.1558304232026425e-06,2.0100918045029325e-06,-6.219177324126285e-07
30,0.32027750732466875,1.5034019132322546e-05,5.967066934851213e-06,2.245290939851282e-05,-2.821810909948489e-06,-4.651607783849358e-07,-1.6193910773558288e-06
31,0.24113290612240657,8.059576780636797e-06,5.211956457481759e-06,2.362490769438008e-05,2.6235626275829573e-07,1.1132447051268492e-06,-1.9516314319166216e-06
32,0.1402028717677627,9.249961259411627e-06,4.069987345802284e-06,2.0133520668325923e-05,1.3307491110741547e-06,2.5663752251127693e-07,2.9756057294775088e-06
33,0.05169932532201338,3.5408920363258546e-06,2.568467162789976e-06,1.5431151436946887e-05,-6.478455037573159e-07,-5.210569901985063e-07,-4.5680063556285423e-07
34,0.35659806410409567,1.5841223700473885e-05,5.929283292824224e-06,2.2782549050134245e-05,-5.313381367285445e-07,1.6892785419551119e-06,-2.849521487171231e-06
35,0.1966270946220845,9.777148233395791e-06,3.211893914299967e-06,2.1631028383824242e-05,7.643507872543692e-07,4.276087344743749e-07,3.8382205259142173e-07
36,0.501302586873071,5.461465555066373e-05,8.759989630244631e-06,2.5782194923069423e-05,4.142750589665156e-06,6.25834369811901e-07,-1.1764599005825532e-06
37,0.5247314167732032,4.614163325512702e-05,1.1591371431125299e-05,2.4636615783264893e-05,3.8451467008453595e-06,1.5736054874194605e-07,-5.1967735767447976e-06
38,0.22628648850026867,9.589464777560525e-06,5.247798099357163e-06,1.7965406563839484e-05,-2.7770510498663477e-07,-3.7073113838856624e-07,-4.969435456557041e-07
39,0.07224340826003073,4.3473145223726e-06,3.436593805450415e-06,1.809044939377846e-05,-3.3646394068508436e-07,-7.751137845928208e-07,-3.4869845746018724e-07
40,0.8665425624268233,5.82647475374909e-05,8.968250053562369e-06,2.9812817410337454e-05,2.7250541918039244e-06,3.345760782974161e-06,6.184730921144257e-06
41,0.7276183575768707,5.706598345262725e-05,8.09160681522439e-06,3.136592330731577e-05,-5.471992184365632e-06,4.094531535471049e-06,-3.018655393965964e-06
42,0.999122012906374,6.356462613210582e-05,8.527533034789826e-06,2.6992474364698247e-05,2.0873962075927762e-05,3.846212228499059e-06,5.651504607691866e-06
