,returns,CDF for h = 0.001,CDF for h = 0.003,CDF for h = 0.01
144,-0.0045,0.41422877691624754,0.4110121558417102,0.41880030044544225
235,-0.0044,0.41180211292844937,0.41245019258721816,0.41984952900328043
405,-0.0041,0.4173279993980657,0.4206080440340637,0.4244092866611394
104,-0.0041,0.4210556713920863,0.42001662269870665,0.42512793259419346
87,-0.0041,0.42127608831718205,0.4210086741989857,0.42493430266426313
169,-0.004,0.42260394431308296,0.4184094543216652,0.4267114571574461
61,-0.0039,0.4186324171444355,0.42082202535418833,0.42954233913436257
110,-0.0038,0.42487486936565977,0.42270731466644784,0.4299779959264506
157,-0.0038,0.42500934213528974,0.4264759027203811,0.42897444553354924
23,-0.0036,0.42506788548148167,0.42753570710127387,0.4337805145038478
483,-0.0035,0.4252170258406838,0.4330153531357138,0.43443911441694405
140,-0.0033,0.4379434790322055,0.4323810137977051,0.43792718800350733
429,-0.0033,0.4290999422663565,0.43444474930966315,0.4389297295515368
351,-0.0032,0.43760132248479305,0.43553193546779223,0.4384570761687845
331,-0.0031,0.43141131491856166,0.4406164512078124,0.44255358045607723
326,-0.0029,0.4443681798729768,0.4427425366415465,0.44429214508324866
309,-0.0029,0.4414845187940244,0.4407183291547486,0.4480105098736026
315,-0.0027,0.44549801821877505,0.44868196680398026,0.44795297439418963
413,-0.0026,0.44559320761883175,0.44980533666542594,0.45166379173615623
43,-0.0025,0.45066360980273784,0.44914510251605955,0.4531366388235517
103,-0.0025,0.44550810605384006,0.4522640514550257,0.45195135176439655
411,-0.0024,0.4522444910160277,0.4544595332305781,0.4545226308793368
172,-0.0023,0.4560612279272038,0.4533773423498723,0.45357419680157146
224,-0.0023,0.4581217059700853,0.4544190523518058,0.4555469292091832
153,-0.0022,0.45537501870810676,0.4559789857069239,0.4576676435351994
123,-0.0022,0.45790433242703804,0.45706033505217647,0.4554411412207456
487,-0.0021,0.46000679178070425,0.4609033512426858,0.46145895735814213
202,-0.002,0.45349274594174027,0.4601729006491587,0.4610520921500805
397,-0.002,0.46437158521034105,0.4590744348101651,0.4599678377349982
204,-0.002,0.4648454138101359,0.4587708812830933,0.46189255482530733
128,-0.0018,0.45890003853886957,0.46230908245958463,0.46254218475839237
91,-0.0018,0.46833045782474647,0.4648059472494639,0.4660020069482669
82,-0.0018,0.4627834525187912,0.4643211970339384,0.4640820374596913
328,-0.0017,0.46232209504731125,0.46181367171134613,0.4656873152570829
105,-0.0016,0.4712390134573972,0.4682669080557684,0.4676780464260491
85,-0.0015,0.46982444763350434,0.4700817285496378,0.4703676387263367
318,-0.0009,0.4810292711306532,0.48297382193004773,0.4782382138047753
45,-0.0008,0.48359028721532304,0.4827299218676584,0.4810496867396669
139,-0.0007,0.48438302558501717,0.4855124907862495,0.4822216285209913
464,-0.0004,0.48954900340971413,0.49012225885845523,0.48620266471115137
317,-0.0002,0.4951301687706325,0.4942736971269625,0.49271475814055626
95,-0.0001,0.493452529474595,0.4933392220493157,0.49356367702557546
239,0.0,0.49800213621025213,0.49283494422401153,0.49669226524491406
353,0.0,0.5038582659058493,0.4942300606681854,0.4965909788116815
396,0.0,0.4984190169157612,0.4994843826504798,0.4943483170916811
15,0.0002,0.489259821198544,0.5011967054834519,0.49816873523972965
356,0.0004,0.5035913960336472,0.5050900223923029,0.5034734525229873
55,0.0004,0.49996320267564615,0.5047919646136295,0.5041570824099941
465,0.0007,0.5160481655682874,0.5130770300604015,0.5062153457547655
36,0.0008,0.5045220012584734,0.5180847151743089,0.509046827034757
237,0.0009,0.5123142815541337,0.5156070496834896,0.5098815006102725
482,0.0011,0.5227808413113703,0.5183670837979005,0.5138272630629278
84,0.0011,0.5204600320666006,0.5185007671322421,0.5149808940852297
69,0.0012,0.5253731781440805,0.5241355401302498,0.5169548451041802
361,0.0012,0.5184160921693761,0.5220250799631684,0.5166695210674719
442,0.0012,0.5134638964338123,0.5234754260552738,0.5158655481245427
262,0.0013,0.5216923049662925,0.52194508280604,0.5190233650796228
174,0.0013,0.5214847822117391,0.5266606164954865,0.5174279457552712
133,0.0013,0.5167673061700429,0.5263289093758445,0.5199085852384602
453,0.0014,0.5195432568153211,0.5207461099128234,0.518651758954294
108,0.0014,0.5164995624780264,0.5267580694879037,0.5201943193151289
462,0.0016,0.5299505563888872,0.5329719219691705,0.5225067928635436
486,0.0017,0.5334882274319053,0.531177108154858,0.522719770795424
435,0.0018,0.5353540439826,0.5308308498868218,0.5257008242663299
200,0.0018,0.5276957432360697,0.5338349255310716,0.5248261208718368
115,0.0021,0.5437486579828843,0.5369192075383958,0.5333952485504768
229,0.0022,0.5446219628801813,0.5415711412387526,0.5330607266253998
70,0.0023,0.5520096646490096,0.5461746639487167,0.5320191812404075
136,0.0024,0.5352106834203673,0.5477450427458527,0.5352509090926947
254,0.0025,0.5497690313513762,0.5507082824380423,0.5382231992041537
233,0.0026,0.5586246799583697,0.5508139551793875,0.5396639274210039
460,0.0027,0.5503847645297357,0.5529015627705314,0.5413278555901426
244,0.0028,0.5519320145809432,0.5551787864025423,0.5436329387007506
370,0.0029,0.5546391215383586,0.5542957966629005,0.5458763219043606
227,0.0029,0.5500833186773574,0.5581225782727365,0.5477817020007381
18,0.003,0.5553162940772788,0.558996991682508,0.54826165770356
182,0.0032,0.5591655043882915,0.5606473434643487,0.5512332628629428
394,0.0032,0.5648532056160235,0.5608974503882377,0.55201294328874
497,0.0033,0.5647193892834904,0.5618190258031612,0.5525992349854957
430,0.0033,0.5710771356974852,0.5630882234220708,0.5531244737870918
48,0.0034,0.5581707717433008,0.5665145392425365,0.5531171610465286
432,0.0034,0.5688290994454592,0.5661997564619682,0.5543343347112774
65,0.0035,0.5652301028765833,0.5624045461619203,0.5530674173937612
120,0.0036,0.5655475626955195,0.5699167943195342,0.5560573471657309
467,0.0036,0.5830535773590231,0.5711848834204725,0.558000908759585
209,0.0039,0.5816153368372858,0.5774894416522893,0.5622279031731946
39,0.0039,0.5819365318217558,0.5769585560670358,0.5611320583880773
20,0.0041,0.575480062087339,0.5787108477696569,0.5662219602551476
149,0.0041,0.5838106214290751,0.5805542190911486,0.5638531107727838
121,0.0043,0.5848800676134848,0.584235419687127,0.5670944696986411
374,0.0044,0.586829699389352,0.5812476868784935,0.5710819161571373
441,0.0046,0.5901916826023239,0.5917512310431393,0.5724718159920844
458,0.0048,0.5978017547470292,0.5870225415839857,0.57644854113933
252,0.0048,0.5932367917234138,0.5971906674253369,0.5758891403477272
287,0.0049,0.6028126255073408,0.5964539055592643,0.578691265822289
158,0.0049,0.6042567492383927,0.5925848119011509,0.5790507111882262
152,0.005,0.5995990276873159,0.5955841163302739,0.583431410807266
44,0.005,0.6004765004858599,0.5937475654852922,0.5807708992348171
173,0.0052,0.6085479492748909,0.5977824640911173,0.5848530258981196
256,0.0056,0.6159168542659172,0.6111041700842129,0.5906262386631771
40,0.0056,0.6119491237521385,0.604201229790822,0.5898458717200473
